;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TABELA 7.1 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR NÍVEL GEOGRÁFICO - SÉRIE COM AJUSTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Região e UF;Janeiro/2020;;;;Fevereiro/2020;;;;;Março/2020;;;;;Abril/2020;;;;;Maio/2020;;;;;Junho/2020;;;;;Julho/2020;;;;;Agosto/2020;;;;;Setembro/2020;;;;;Outubro/2020;;;;;Novembro/2020;;;;;Dezembro/2020;;;;;Janeiro/2021;;;;;Fevereiro/2021;;;;;Março/2021;;;;;Abril/2021;;;;;Maio/2021;;;;;Junho/2021;;;;;Julho/2021;;;;;Agosto/2021;;;;;Setembro/2021;;;;;Outubro/2021;;;;;Novembro/2021;;;;;Dezembro/2021;;;;;Janeiro/2022;;;;;Fevereiro/2022;;;;;Março/2022;;;;;Abril/2022;;;;;Maio/2022;;;;;Junho/2022;;;;;Julho/2022;;;;;Agosto/2022;;;;;Setembro/2022;;;;;Outubro/2022;;;;;Novembro/2022;;;;;Dezembro/2022;;;;;Janeiro/2023;;;;;Fevereiro/2023;;;;;Março/2023;;;;;Abril/2023;;;;;Maio/2023;;;;;Junho/2023;;;;;Julho/2023;;;;;Agosto/2023;;;;;Setembro/2023;;;;;Outubro/2023;;;;;Novembro/2023;;;;;Acumulado do Ano (2023);;;;Últimos 12 Meses** (Dez/22 a Nov/23) - com ajuste;;;;;;;;;;
;;Estoque;Admissões;Desligamentos;Saldos;Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);"Estoque****
(Estoque de referência de 2023)";Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Admissões;Desligamentos;Saldos;Variação Relativa (%);Admissões;Desligamentos;Saldos;Variação Relativa (%);;;;;;;
;Brasil;37.955.239;1.510.234;1.398.196;112.038;38.172.501;1.613.868;1.396.606;217.262;0,57;37.877.436;1.459.611;1.754.676;-295.065;-0,77;36.895.827;664.881;1.646.490;-981.609;-2,59;36.497.433;761.830;1.160.224;-398.394;-1,08;36.443.943;962.370;1.015.860;-53.490;-0,15;36.552.319;1.177.212;1.068.836;108.376;0,30;36.766.816;1.329.029;1.114.532;214.497;0,59;37.066.348;1.490.816;1.191.284;299.532;0,81;37.432.277;1.662.678;1.296.749;365.929;0,99;37.808.551;1.655.620;1.279.346;376.274;1,01;37.651.185;1.335.640;1.493.006;-157.366;-0,42;37.905.459;1.711.128;1.456.854;254.274;0,68;38.303.161;1.864.021;1.466.319;397.702;1,05;38.456.733;1.759.178;1.605.606;153.572;0,40;38.546.706;1.503.085;1.413.112;89.973;0,23;38.813.131;1.651.518;1.385.093;266.425;0,69;39.131.109;1.698.787;1.380.809;317.978;0,82;39.437.930;1.766.060;1.459.239;306.821;0,78;39.825.750;1.918.104;1.530.284;387.820;0,98;40.155.860;1.890.565;1.560.455;330.110;0,83;40.408.505;1.841.934;1.589.289;252.645;0,63;40.722.577;1.861.712;1.547.640;314.072;0,78;40.431.085;1.480.016;1.771.508;-291.492;-0,72;40.598.629;1.851.236;1.683.692;167.544;0,41;40.952.338;2.089.570;1.735.861;353.709;0,87;41.051.418;2.002.706;1.903.626;99.080;0,24;41.257.086;1.887.176;1.681.508;205.668;0,50;41.534.932;2.002.057;1.724.211;277.846;0,67;41.820.081;1.933.711;1.648.562;285.149;0,69;42.045.251;1.922.927;1.697.757;225.170;0,54;42.333.691;2.085.346;1.796.906;288.440;0,69;42.611.792;1.952.640;1.674.539;278.101;0,66;42.772.137;1.819.286;1.658.941;160.345;0,38;42.899.969;1.773.722;1.645.890;127.832;0,30;42.444.425;1.408.686;1.864.230;-455.544;-1,06;42.531.110;1.915.378;1.828.693;86.685;0,20;42.782.356;1.988.409;1.737.163;251.246;0,59;42.975.982;2.203.062;2.009.436;193.626;0,45;43.157.732;1.898.420;1.716.670;181.750;0,42;43.313.794;2.022.923;1.866.861;156.062;0,36;43.471.009;1.934.840;1.777.625;157.215;0,36;43.614.286;1.900.535;1.757.258;143.277;0,33;43.835.028;2.113.343;1.892.601;220.742;0,51;44.040.386;1.936.104;1.730.746;205.358;0,47;44.228.795;1.955.460;1.767.051;188.409;0,43;44.358.892;1.866.752;1.736.655;130.097;0,29;21.735.226;19.820.759;1.914.467;4,51;23.143.912;21.684.989;1.458.923;3,40;;;;;;;
;Norte;1.710.261;64.557;61.158;3.399;1.721.373;68.360;57.248;11.112;0,65;1.713.844;60.445;67.974;-7.529;-0,44;1.680.870;30.929;63.903;-32.974;-1,92;1.667.990;36.174;49.054;-12.880;-0,77;1.673.749;50.363;44.604;5.759;0,35;1.689.641;65.491;49.599;15.892;0,95;1.712.739;72.664;49.566;23.098;1,37;1.734.863;75.626;53.502;22.124;1,29;1.756.025;79.594;58.432;21.162;1,22;1.770.808;74.228;59.445;14.783;0,84;1.759.312;57.682;69.178;-11.496;-0,65;1.768.331;75.424;66.405;9.019;0,51;1.782.894;76.855;62.292;14.563;0,82;1.792.658;79.522;69.758;9.764;0,55;1.802.699;72.157;62.116;10.041;0,56;1.821.465;83.589;64.823;18.766;1,04;1.846.542;89.692;64.615;25.077;1,38;1.871.243;95.000;70.299;24.701;1,34;1.894.608;97.656;74.291;23.365;1,25;1.912.724;92.472;74.356;18.116;0,96;1.922.319;90.530;80.935;9.595;0,50;1.939.852;88.306;70.773;17.533;0,91;1.924.889;66.724;81.687;-14.963;-0,77;1.929.484;87.054;82.459;4.595;0,24;1.945.412;92.350;76.422;15.928;0,83;1.953.456;91.798;83.754;8.044;0,41;1.965.879;87.711;75.288;12.423;0,64;1.982.839;95.047;78.087;16.960;0,86;2.005.734;98.830;75.935;22.895;1,15;2.024.699;99.659;80.694;18.965;0,95;2.045.648;105.230;84.281;20.949;1,03;2.065.485;98.098;78.261;19.837;0,97;2.073.093;89.593;81.985;7.608;0,37;2.075.232;83.605;81.466;2.139;0,10;2.043.490;64.007;95.749;-31.742;-1,53;2.041.536;90.146;92.100;-1.954;-0,10;2.055.696;92.956;78.796;14.160;0,69;2.066.016;99.851;89.531;10.320;0,50;2.078.557;89.487;76.946;12.541;0,61;2.091.915;97.670;84.312;13.358;0,64;2.106.726;98.397;83.586;14.811;0,71;2.121.486;96.788;82.028;14.760;0,70;2.139.331;106.405;88.560;17.845;0,84;2.155.376;97.184;81.139;16.045;0,75;2.165.074;92.865;83.167;9.698;0,45;2.169.679;86.455;81.850;4.605;0,21;1.048.204;922.015;126.189;6,18;1.112.211;1.017.764;94.447;4,55;;;;;;;
;Rondônia;224.188;9.676;9.485;191;225.405;10.993;9.776;1.217;0,54;224.305;9.487;10.587;-1.100;-0,49;218.790;4.014;9.529;-5.515;-2,46;217.298;5.910;7.402;-1.492;-0,68;218.026;7.596;6.868;728;0,34;219.333;9.078;7.771;1.307;0,60;221.024;9.598;7.907;1.691;0,77;222.697;9.987;8.314;1.673;0,76;224.274;10.419;8.842;1.577;0,71;225.219;10.046;9.101;945;0,42;225.059;8.131;8.291;-160;-0,07;225.641;10.414;9.832;582;0,26;227.605;11.437;9.473;1.964;0,87;228.084;10.645;10.166;479;0,21;228.689;9.849;9.244;605;0,27;230.162;11.416;9.943;1.473;0,64;233.519;13.213;9.856;3.357;1,46;236.325;13.636;10.830;2.806;1,20;239.158;13.827;10.994;2.833;1,20;239.941;12.954;12.171;783;0,33;240.900;12.488;11.529;959;0,40;242.460;12.514;10.954;1.560;0,65;241.429;10.327;11.358;-1.031;-0,43;242.308;12.809;11.930;879;0,36;245.247;14.836;11.897;2.939;1,21;246.634;14.243;12.856;1.387;0,57;247.784;12.838;11.688;1.150;0,47;249.883;13.836;11.737;2.099;0,85;252.639;14.156;11.400;2.756;1,10;254.266;13.904;12.277;1.627;0,64;256.198;14.601;12.669;1.932;0,76;258.042;13.504;11.660;1.844;0,72;258.757;12.467;11.752;715;0,28;258.946;11.033;10.844;189;0,07;257.572;9.341;10.715;-1.374;-0,53;257.107;12.466;12.931;-465;-0,18;259.567;14.500;12.040;2.460;0,96;260.655;14.451;13.363;1.088;0,42;261.541;12.537;11.651;886;0,34;263.352;14.423;12.612;1.811;0,69;265.475;14.198;12.075;2.123;0,81;266.529;13.862;12.808;1.054;0,40;268.505;14.708;12.732;1.976;0,74;269.826;13.339;12.018;1.321;0,49;270.225;12.646;12.247;399;0,15;270.741;12.161;11.645;516;0,19;149.291;136.122;13.169;5,11;158.632;146.837;11.795;4,56;;;;;;;
;Acre;74.232;2.987;2.794;193;75.202;3.209;2.239;970;1,31;75.321;2.918;2.799;119;0,16;74.752;1.796;2.365;-569;-0,76;74.646;1.702;1.808;-106;-0,14;74.626;1.756;1.776;-20;-0,03;74.811;2.190;2.005;185;0,25;75.421;2.791;2.181;610;0,82;75.936;2.561;2.046;515;0,68;76.579;2.886;2.243;643;0,85;77.110;2.766;2.235;531;0,69;76.658;1.996;2.448;-452;-0,59;77.077;3.011;2.592;419;0,55;77.951;3.457;2.583;874;1,13;77.979;2.815;2.787;28;0,04;78.337;3.112;2.754;358;0,46;79.683;4.348;3.002;1.346;1,72;80.744;3.606;2.545;1.061;1,33;81.639;4.113;3.218;895;1,11;82.041;3.768;3.366;402;0,49;83.074;4.644;3.611;1.033;1,26;84.041;4.108;3.141;967;1,16;84.966;3.779;2.854;925;1,10;84.702;2.745;3.009;-264;-0,31;84.909;3.571;3.364;207;0,24;85.587;4.208;3.530;678;0,80;86.282;4.288;3.593;695;0,81;87.081;4.109;3.310;799;0,93;87.942;4.953;4.092;861;0,99;89.176;4.914;3.680;1.234;1,40;90.279;5.156;4.053;1.103;1,24;91.279;4.737;3.737;1.000;1,11;91.999;3.873;3.153;720;0,79;92.705;3.990;3.284;706;0,77;93.163;3.635;3.177;458;0,49;92.315;2.458;3.306;-848;-0,91;91.522;3.756;4.549;-793;-0,86;92.333;4.320;3.509;811;0,89;93.094;5.131;4.370;761;0,82;93.465;4.037;3.666;371;0,40;94.027;4.638;4.076;562;0,60;95.290;4.738;3.475;1.263;1,34;96.089;4.332;3.533;799;0,84;96.652;4.600;4.037;563;0,59;96.965;3.883;3.570;313;0,32;97.041;3.959;3.883;76;0,08;97.284;3.790;3.547;243;0,25;47.184;42.215;4.969;5,38;49.642;45.521;4.121;4,42;;;;;;;
;Amazonas;394.359;15.481;14.555;926;396.220;14.875;13.014;1.861;0,47;392.654;13.287;16.853;-3.566;-0,90;382.365;6.753;17.042;-10.289;-2,62;377.015;6.457;11.807;-5.350;-1,40;376.208;9.270;10.077;-807;-0,21;380.377;15.300;11.131;4.169;1,11;387.753;17.958;10.582;7.376;1,94;393.867;17.963;11.849;6.114;1,58;399.535;18.382;12.714;5.668;1,44;404.964;17.781;12.352;5.429;1,36;402.213;13.267;16.018;-2.751;-0,68;403.922;16.064;14.355;1.709;0,42;402.717;12.176;13.381;-1.205;-0,30;404.463;17.272;15.526;1.746;0,43;406.792;16.752;14.423;2.329;0,58;410.393;17.634;14.033;3.601;0,89;416.281;19.662;13.774;5.888;1,43;423.702;23.020;15.599;7.421;1,78;429.826;22.167;16.043;6.124;1,45;434.523;20.248;15.551;4.697;1,09;436.959;19.231;16.795;2.436;0,56;442.611;20.077;14.425;5.652;1,29;439.293;14.446;17.764;-3.318;-0,75;440.070;18.940;18.163;777;0,18;444.373;20.647;16.344;4.303;0,98;446.585;19.861;17.649;2.212;0,50;450.091;19.838;16.332;3.506;0,79;454.603;20.859;16.347;4.512;1,00;459.856;21.766;16.513;5.253;1,16;465.880;24.872;18.848;6.024;1,31;470.852;23.792;18.820;4.972;1,07;476.145;21.843;16.550;5.293;1,12;479.589;20.375;16.931;3.444;0,72;481.427;19.421;17.583;1.838;0,38;474.075;14.170;21.522;-7.352;-1,53;472.861;20.102;21.316;-1.214;-0,26;475.542;20.100;17.419;2.681;0,57;476.727;21.149;19.964;1.185;0,25;479.538;19.919;17.108;2.811;0,59;481.375;20.709;18.872;1.837;0,38;483.633;20.699;18.441;2.258;0,47;487.046;21.562;18.149;3.413;0,71;491.232;23.371;19.185;4.186;0,86;493.973;20.264;17.523;2.741;0,56;496.595;20.407;17.785;2.622;0,53;499.179;19.630;17.046;2.584;0,52;227.912;202.808;25.104;5,30;242.082;224.330;17.752;3,69;;;;;;;
