;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM NOVEMBRO DE 2023 - SEM AJUSTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Grupamento de Atividades Econômicas e Seção CNAE 2.0;Unidade da Federação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espírito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal;Não identificado;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;516;243;2.584;417;-51;414;482;1.429;-124;4.674;3.342;3.657;7.664;2.834;1.739;7.374;808;1.772;23.514;47.273;7.842;6.672;11.799;1.918;-4.178;-7.073;4.052;-1.496;130.097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Agricultura, pecuária, produção florestal, pesca e aquicultura;-80;17;-148;-47;-403;-44;55;-111;-348;45;-64;-56;-1.284;-113;-77;-1.368;-3.710;-99;-346;-6.129;12;1.717;2.649;-447;-3.772;-5.229;-144;-1.493;-21.017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indústria geral;-166;-116;378;-51;-12;3;159;125;-981;-901;357;129;1.091;806;106;-1.451;-3.202;129;2.641;-3.655;-1.082;-2.669;-2.225;513;-424;-2.497;82;2;-12.911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indústrias Extrativas;-2;-2;-5;-6;218;-11;-10;-48;-40;28;40;9;8;37;1;-26;128;-7;138;22;60;-59;-67;-21;-42;-53;-6;0;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indústrias de Transformação;-147;-125;417;-44;-151;17;171;116;-943;-1.096;316;113;1.110;643;82;-1.665;-3.320;141;2.176;-3.831;-1.043;-2.633;-2.101;528;-420;-2.532;84;2;-14.135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Eletricidade e Gás;-19;10;-1;2;1;3;5;34;10;9;5;13;18;26;13;33;-47;22;128;83;-4;-2;-17;10;55;43;-8;0;425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;2;1;-33;-3;-80;-6;-7;23;-8;158;-4;-6;-45;100;10;207;37;-27;199;71;-95;25;-40;-4;-17;45;12;0;515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Construção;-307;25;-212;60;-2.976;-68;-265;-431;-601;94;-89;389;589;456;226;1.411;-6.836;-945;359;-2.560;-877;-1.603;87;-715;-1.266;-1.466;221;0;-17.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Comércio; reparação de veículos automotores e motocicletas";685;325;2.047;246;2.115;271;460;1.025;915;3.123;1.402;1.226;4.417;901;863;4.470;7.841;1.640;10.522;23.517;4.901;4.404;4.838;1.494;1.333;2.411;1.311;3;88.706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Serviços;384;-8;520;209;1.225;252;73;821;891;2.313;1.736;1.969;2.851;784;621;4.312;6.715;1.047;10.338;36.099;4.889;4.823;6.450;1.073;-49;-292;2.582;-8;92.620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
